Время ошибки,Тип и место ошибки
2023-07-06 18:24:59,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 131, in <module>
    if float(find_list(format(nearest_min, f'.{price_precision}f'), glass['asks'])[1][1]) >= np.mean(
TypeError: 'NoneType' object is not subscriptable
"
2023-07-06 17:57:31,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:22,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:20,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:17,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:15,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:13,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:11,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:08,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:06,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:03,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:57:01,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:56:59,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:56:56,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:56:54,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:56:52,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:56:50,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:11:26,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 131, in <module>
    if float(find_list(format(nearest_min, f'.{price_precision}f'), glass['asks'])[1][1]) >= np.mean(
TypeError: 'NoneType' object is not subscriptable
"
2023-07-06 17:10:36,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 131, in <module>
    if float(find_list(format(nearest_min, f'.{price_precision}f'), glass['asks'])[1][1]) >= np.mean(
TypeError: 'NoneType' object is not subscriptable
"
2023-07-06 17:09:00,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
2023-07-06 17:08:57,"Traceback (most recent call last):
  File ""C:\Users\agd01\AppData\Local\Temp/ipykernel_1692/1602893643.py"", line 201, in <module>
    is_nearest_bids_in_nearest_close_min_list == False and nearest_bids not in before_nearest_bids_list:
NameError: name 'before_nearest_bids_list' is not defined
"
