Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный
ZECUSDT,отскок,asks,43.71,2023-03-02 07:16:11,43.62,2023-03-02 07:21:39,True
ZECUSDT,отскок,bids,43.6,2023-03-02 08:53:22,43.69,2023-03-02 08:59:33,True
ZECUSDT,отскок,asks,43.28,2023-03-02 09:13:03,43.33,2023-03-02 09:13:18,False
ZECUSDT,отскок,asks,43.44,2023-03-02 09:17:11,43.49,2023-03-02 09:21:36,False
ZECUSDT,отскок,bids,43.5,2023-03-02 09:22:32,43.59,2023-03-02 09:28:23,True
ZECUSDT,отскок,asks,43.53,2023-03-02 09:52:50,43.58,2023-03-02 09:53:23,False
ZECUSDT,отскок,bids,43.4,2023-03-02 10:06:15,43.49,2023-03-02 10:09:11,True
ZECUSDT,отскок,bids,43.53,2023-03-02 10:53:44,43.48,2023-03-02 11:09:58,False
ZECUSDT,отскок,asks,43.52,2023-03-02 11:25:14,43.57,2023-03-02 11:28:53,False
ZECUSDT,отскок,asks,43.71,2023-03-02 12:09:07,43.62,2023-03-02 12:19:51,True
ZECUSDT,отскок,asks,43.68,2023-03-02 12:23:25,43.75,2023-03-02 12:24:13,False
ZECUSDT,отскок,bids,43.49,2023-03-02 14:22:28,43.58,2023-03-02 14:29:29,True
ZECUSDT,отскок,asks,43.6,2023-03-02 14:30:07,43.51,2023-03-02 14:35:24,True
ZECUSDT,отскок,bids,43.5,2023-03-02 15:16:17,43.45,2023-03-02 15:17:42,False
ZECUSDT,отскок,bids,43.37,2023-03-02 15:30:05,43.47,2023-03-02 15:30:20,True
ZECUSDT,отскок,asks,43.5,2023-03-02 16:21:23,43.55,2023-03-02 16:22:04,False
ZECUSDT,отскок,bids,43.32,2023-03-02 16:58:31,43.41,2023-03-02 17:02:33,True
ZECUSDT,отскок,bids,43.31,2023-03-02 18:18:44,43.26,2023-03-02 18:20:28,False
ZECUSDT,отскок,bids,43.18,2023-03-02 18:26:34,43.31,2023-03-02 18:27:22,True
ZECUSDT,отскок,asks,43.39,2023-03-02 19:19:42,43.44,2023-03-02 19:20:42,False
ZECUSDT,отскок,bids,43.36,2023-03-02 19:22:28,43.28,2023-03-02 19:24:44,False
ZECUSDT,отскок,bids,43.18,2023-03-02 19:33:23,43.13,2023-03-02 19:37:37,False
ZECUSDT,отскок,asks,43.01,2023-03-02 19:42:19,43.06,2023-03-02 19:43:07,False
ZECUSDT,отскок,bids,43.13,2023-03-02 19:45:38,43.08,2023-03-02 19:46:29,False
ZECUSDT,отскок,asks,43.01,2023-03-02 19:56:51,43.06,2023-03-02 20:00:40,False
ZECUSDT,отскок,bids,42.98,2023-03-02 20:19:17,43.07,2023-03-02 20:24:04,True
ZECUSDT,отскок,asks,43.13,2023-03-02 20:26:38,43.19,2023-03-02 20:30:40,False
ZECUSDT,отскок,bids,43.11,2023-03-02 20:48:57,43.06,2023-03-02 20:49:49,False
ZECUSDT,отскок,asks,43.2,2023-03-02 20:53:56,43.11,2023-03-02 21:03:08,True
ZECUSDT,отскок,bids,43.05,2023-03-02 21:31:16,43.14,2023-03-02 21:34:53,True
ZECUSDT,отскок,bids,43.36,2023-03-02 21:57:04,43.45,2023-03-02 22:00:03,True
ZECUSDT,отскок,bids,43.52,2023-03-02 22:35:08,43.47,2023-03-02 22:36:18,False
ZECUSDT,пробой,bids,43.6,2023-03-02 22:38:36,43.65,2023-03-02 23:00:54,False
ZECUSDT,отскок,bids,43.6,2023-03-02 23:17:33,43.55,2023-03-02 23:19:08,False
ZECUSDT,отскок,bids,43.48,2023-03-03 01:25:01,43.57,2023-03-03 01:28:13,True
ZECUSDT,пробой,bids,43.6,2023-03-03 01:31:46,43.51,2023-03-03 01:47:36,True
ZECUSDT,отскок,asks,43.52,2023-03-03 02:37:03,43.57,2023-03-03 02:37:15,False
ZECUSDT,отскок,bids,43.0,2023-03-03 04:18:26,42.95,2023-03-03 04:18:36,False
ZECUSDT,отскок,bids,42.8,2023-03-03 04:19:17,42.71,2023-03-03 04:19:25,False
ZECUSDT,отскок,asks,42.28,2023-03-03 04:21:28,42.34,2023-03-03 04:21:31,False
ZECUSDT,отскок,bids,40.96,2023-03-03 04:28:39,40.64,2023-03-03 04:28:40,False
ZECUSDT,отскок,bids,40.7,2023-03-03 04:28:59,40.62,2023-03-03 04:28:59,False
ZECUSDT,отскок,bids,40.14,2023-03-03 04:29:20,40.07,2023-03-03 04:29:28,False
ZECUSDT,отскок,asks,39.94,2023-03-03 04:30:45,39.98,2023-03-03 04:30:51,False
ZECUSDT,отскок,bids,38.48,2023-03-03 04:31:57,38.17,2023-03-03 04:31:59,False
ZECUSDT,отскок,bids,37.0,2023-03-03 04:32:29,37.11,2023-03-03 04:32:30,True
ZECUSDT,отскок,bids,36.76,2023-03-03 04:32:35,36.66,2023-03-03 04:32:36,False
ZECUSDT,отскок,asks,36.87,2023-03-03 04:32:54,36.94,2023-03-03 04:32:56,False
ZECUSDT,отскок,bids,38.19,2023-03-03 04:36:53,38.1,2023-03-03 04:36:55,False
ZECUSDT,отскок,asks,38.64,2023-03-03 04:38:27,38.7,2023-03-03 04:38:55,False
ZECUSDT,отскок,bids,38.63,2023-03-03 04:39:12,38.71,2023-03-03 04:39:22,True
ZECUSDT,отскок,bids,38.44,2023-03-03 04:43:40,38.39,2023-03-03 04:44:03,False
ZECUSDT,отскок,bids,38.89,2023-03-03 04:49:49,38.84,2023-03-03 04:50:00,False
ZECUSDT,отскок,asks,38.71,2023-03-03 04:51:20,38.63,2023-03-03 04:53:12,True
ZECUSDT,отскок,bids,38.6,2023-03-03 04:53:31,38.7,2023-03-03 04:53:42,True
ZECUSDT,отскок,bids,38.74,2023-03-03 04:54:43,38.7,2023-03-03 04:54:50,False
ZECUSDT,отскок,bids,38.76,2023-03-03 05:06:06,38.7,2023-03-03 05:06:08,False
ZECUSDT,отскок,bids,38.75,2023-03-03 05:06:45,38.83,2023-03-03 05:07:02,True
ZECUSDT,отскок,asks,38.8,2023-03-03 05:19:04,38.84,2023-03-03 05:19:12,False
ZECUSDT,отскок,asks,38.89,2023-03-03 05:21:32,38.81,2023-03-03 05:21:47,True
ZECUSDT,отскок,asks,38.8,2023-03-03 05:22:45,38.84,2023-03-03 05:22:47,False
ZECUSDT,отскок,bids,38.73,2023-03-03 05:24:49,38.81,2023-03-03 05:26:48,True
ZECUSDT,отскок,asks,38.81,2023-03-03 05:26:49,38.72,2023-03-03 05:27:15,True
ZECUSDT,отскок,asks,38.73,2023-03-03 05:28:19,38.65,2023-03-03 05:28:36,True
ZECUSDT,отскок,asks,38.6,2023-03-03 05:28:53,38.64,2023-03-03 05:29:41,False
ZECUSDT,отскок,asks,38.66,2023-03-03 05:30:11,38.58,2023-03-03 05:30:42,True
ZECUSDT,отскок,bids,38.54,2023-03-03 05:33:52,38.63,2023-03-03 05:34:45,True
ZECUSDT,отскок,asks,38.67,2023-03-03 05:35:21,38.74,2023-03-03 05:36:05,False
ZECUSDT,отскок,bids,38.75,2023-03-03 05:37:03,38.71,2023-03-03 05:37:46,False
ZECUSDT,отскок,bids,38.78,2023-03-03 05:38:50,38.71,2023-03-03 05:39:01,False
ZECUSDT,отскок,asks,38.72,2023-03-03 05:39:53,38.64,2023-03-03 05:41:08,True
ZECUSDT,отскок,bids,38.55,2023-03-03 05:46:33,38.64,2023-03-03 05:47:22,True
ZECUSDT,отскок,asks,38.73,2023-03-03 05:50:50,38.77,2023-03-03 05:51:08,False
ZECUSDT,отскок,asks,38.68,2023-03-03 05:55:29,38.72,2023-03-03 05:56:22,False
ZECUSDT,отскок,asks,38.7,2023-03-03 05:59:28,38.62,2023-03-03 06:03:56,True
ZECUSDT,отскок,bids,38.65,2023-03-03 06:04:16,38.73,2023-03-03 06:07:16,True
ZECUSDT,отскок,asks,38.77,2023-03-03 06:09:21,38.81,2023-03-03 06:09:24,False
ZECUSDT,отскок,bids,38.8,2023-03-03 06:11:45,38.74,2023-03-03 06:16:46,False
