Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
DOGEUSDT,пробой,asks,0.06985,2023-05-24 16:54:55,0.07016,2023-05-24 16:57:29,True,2.049224951426562
DOGEUSDT,пробой,asks,0.07038,2023-05-24 18:56:03,0.07025,2023-05-24 19:28:03,False,-1.0361335858556668
DOGEUSDT,пробой,asks,0.07041,2023-05-24 20:22:36,0.07046,2023-05-24 21:05:14,True,1.1176270945821274
DOGEUSDT,пробой,bids,0.07037,2023-05-24 21:22:10,0.07049,2023-05-24 21:43:53,False,-1.443158712344751
DOGEUSDT,пробой,bids,0.07067,2023-05-24 22:50:16,0.07081,2023-05-24 23:20:31,False,-1.639549930676409
DOGEUSDT,пробой,bids,0.0705,2023-05-25 03:15:50,0.07043,2023-05-25 03:30:15,True,1.194997986668612
DOGEUSDT,пробой,asks,0.07025,2023-05-25 07:01:28,0.07012,2023-05-25 07:57:11,False,-1.035133070473349
DOGEUSDT,пробой,asks,0.07029,2023-05-25 08:02:24,0.0706,2023-05-25 09:03:27,True,2.0523375933680112
DOGEUSDT,пробой,asks,0.07034,2023-05-25 11:31:47,0.07021,2023-05-25 11:49:01,False,-2.336508035018028
DOGEUSDT,отскок,asks,0.07042,2023-05-25 13:47:38,0.07054,2023-05-25 15:00:17,False,-0.3436016675264826
DOGEUSDT,отскок,asks,0.07088,2023-05-25 15:13:29,0.07053,2023-05-25 15:31:37,True,2.1315161632820327
DOGEUSDT,пробой,bids,0.07024,2023-05-25 20:37:19,0.07037,2023-05-25 22:06:02,False,-1.9927047859016391
DOGEUSDT,пробой,asks,0.07072,2023-05-25 23:41:33,0.07079,2023-05-26 02:33:12,True,1.511251922159013
DOGEUSDT,пробой,bids,0.07092,2023-05-26 04:17:36,0.07055,2023-05-26 04:24:20,True,2.1738625738103243
DOGEUSDT,пробой,bids,0.07065,2023-05-26 04:29:26,0.07059,2023-05-26 04:50:29,True,0.8102586110879128
DOGEUSDT,пробой,asks,0.07083,2023-05-26 13:23:31,0.07071,2023-05-26 14:13:17,False,-1.3573355963539653
