Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки,"Уровень, который мы использовали для отработки"
DOGEUSDT,отскок,asks,0.06188,2023-06-28 23:40:26,0.06189,2023-06-28 23:42:33,False,-6.475246404911882,0.06198
DOGEUSDT,отскок,asks,0.0621,2023-06-29 00:02:34,0.0621,2023-06-29 00:03:48,False,-4.856853030247213,0.06216
DOGEUSDT,отскок,asks,0.06295,2023-06-29 12:07:02,0.06297,2023-06-29 12:07:21,False,-8.029806648311755,0.063
DOGEUSDT,отскок,bids,0.06299,2023-06-29 12:09:34,0.06302,2023-06-29 12:11:31,True,0.12759000741638094,0.06294
DOGEUSDT,отскок,bids,0.06301,2023-06-29 12:11:35,0.06301,2023-06-29 12:11:38,False,-4.850652122387038,0.06293
DOGEUSDT,отскок,bids,0.06301,2023-06-29 12:11:42,0.06307,2023-06-29 12:12:06,True,4.421889080533889,0.06292
DOGEUSDT,отскок,bids,0.06298,2023-06-29 12:13:11,0.06292,2023-06-29 12:13:25,False,-14.360024530999642,0.06291
DOGEUSDT,отскок,bids,0.06304,2023-06-29 13:02:25,0.06334,2023-06-29 13:20:05,True,20.894236072765988,0.063
DOGEUSDT,отскок,asks,0.06573,2023-06-30 11:26:02,0.06567,2023-06-30 11:39:26,True,11.428067083229354,0.0658
DOGEUSDT,отскок,asks,0.06572,2023-06-30 11:40:32,0.06583,2023-06-30 11:50:57,False,-13.988740292254406,0.0658
DOGEUSDT,отскок,bids,0.06563,2023-06-30 12:19:16,0.06554,2023-06-30 12:20:55,False,-18.542489521781427,0.06555
DOGEUSDT,отскок,bids,0.06649,2023-06-30 15:04:57,0.06645,2023-06-30 15:05:02,False,-10.841660906034338,0.0664
