Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
DOGEUSDT,отскок,asks,0.0784,2023-05-03 11:55:27,0.07802,2023-05-03 13:17:18,True,2.047209147230293
DOGEUSDT,отскок,bids,0.07781,2023-05-03 14:57:00,0.07768,2023-05-03 14:57:57,False,-2.1606092729179833
DOGEUSDT,отскок,bids,0.07763,2023-05-03 14:58:08,0.0775,2023-05-03 15:10:46,False,-0.3388344322307496
DOGEUSDT,отскок,bids,0.07754,2023-05-03 15:10:56,0.07738,2023-05-03 15:14:15,False,-2.179161432377886
DOGEUSDT,отскок,bids,0.07734,2023-05-03 15:15:14,0.07741,2023-05-03 15:23:09,True,1.5963704501939349
DOGEUSDT,отскок,bids,0.07711,2023-05-03 15:45:07,0.07752,2023-05-03 16:11:25,True,2.1416787823243126
DOGEUSDT,отскок,bids,0.07945,2023-05-04 03:35:32,0.07952,2023-05-04 04:25:29,True,0.7552002719863158
DOGEUSDT,отскок,asks,0.0795,2023-05-04 04:55:31,0.07963,2023-05-04 05:00:57,False,-1.819335902675984
DOGEUSDT,отскок,bids,0.07918,2023-05-04 10:31:42,0.07905,2023-05-04 11:13:45,False,-0.197428738084366
DOGEUSDT,отскок,bids,0.07911,2023-05-04 11:17:18,0.07948,2023-05-04 13:35:36,True,2.2395333650487093
DOGEUSDT,отскок,asks,0.07939,2023-05-04 13:39:37,0.07904,2023-05-04 14:42:43,True,2.0200760709572476
DOGEUSDT,отскок,bids,0.07912,2023-05-04 14:47:47,0.07899,2023-05-04 14:51:39,False,-2.1372784765322534
DOGEUSDT,отскок,asks,0.07895,2023-05-04 15:13:19,0.07908,2023-05-04 15:30:32,False,-1.393614755159179
DOGEUSDT,отскок,asks,0.07864,2023-05-04 16:23:13,0.07829,2023-05-04 16:35:39,True,2.0042896896388016
DOGEUSDT,отскок,asks,0.07823,2023-05-04 17:40:10,0.07835,2023-05-04 18:07:35,False,-0.8717884950587862
DOGEUSDT,отскок,asks,0.07836,2023-05-04 18:09:02,0.07801,2023-05-04 19:03:02,True,2.014953468333883
DOGEUSDT,отскок,bids,0.07806,2023-05-04 19:04:21,0.0784,2023-05-04 19:26:25,True,2.027935024099781
DOGEUSDT,отскок,bids,0.07839,2023-05-04 19:27:40,0.07827,2023-05-04 19:32:53,False,-2.027903686957404
DOGEUSDT,отскок,bids,0.07827,2023-05-04 19:34:15,0.07834,2023-05-04 20:26:47,True,1.068866464988599
DOGEUSDT,отскок,bids,0.07817,2023-05-04 20:40:55,0.07917,2023-05-04 21:04:41,True,9.332548899304237
DOGEUSDT,отскок,asks,0.07846,2023-05-05 11:49:23,0.07859,2023-05-05 12:10:42,False,-1.859478791001018
DOGEUSDT,отскок,asks,0.07861,2023-05-05 15:16:45,0.07874,2023-05-05 15:30:07,False,-0.951928314291858
DOGEUSDT,отскок,asks,0.07782,2023-05-05 15:31:32,0.07778,2023-05-05 15:33:06,True,1.1981938821247793
DOGEUSDT,отскок,asks,0.07875,2023-05-05 17:55:25,0.0784,2023-05-05 18:09:06,True,2.0430486534420655
DOGEUSDT,отскок,bids,0.08011,2023-05-06 02:16:28,0.08019,2023-05-06 02:26:40,True,0.8797089885902738
DOGEUSDT,отскок,bids,0.08012,2023-05-06 02:35:20,0.07998,2023-05-06 03:04:43,False,-0.944089093693671
DOGEUSDT,отскок,asks,0.07802,2023-05-06 12:24:39,0.07816,2023-05-06 13:34:45,False,-1.0297431421894214
DOGEUSDT,отскок,bids,0.07763,2023-05-06 15:38:31,0.0775,2023-05-06 15:39:04,False,-1.8693810041082997
DOGEUSDT,отскок,bids,0.07762,2023-05-06 15:47:35,0.07749,2023-05-06 15:51:13,False,-2.180905473914662
DOGEUSDT,отскок,bids,0.0771,2023-05-06 16:25:29,0.07696,2023-05-06 16:35:49,False,-0.32168807504089547
DOGEUSDT,отскок,bids,0.07707,2023-05-06 16:39:20,0.07694,2023-05-06 16:40:26,False,-2.187531624448836
DOGEUSDT,отскок,bids,0.07622,2023-05-06 18:01:08,0.07607,2023-05-06 18:01:19,False,-2.465586392182061
DOGEUSDT,отскок,bids,0.07719,2023-05-06 22:04:28,0.07707,2023-05-06 22:18:31,False,-0.8766158151018789
DOGEUSDT,отскок,bids,0.07689,2023-05-06 23:09:47,0.07677,2023-05-07 00:30:08,False,-0.87725329594752
DOGEUSDT,отскок,bids,0.0767,2023-05-07 02:08:15,0.07658,2023-05-07 02:24:40,False,-2.051869941759229
DOGEUSDT,отскок,bids,0.07645,2023-05-07 02:38:18,0.07686,2023-05-07 03:01:06,True,2.1635351827569496
DOGEUSDT,отскок,bids,0.07672,2023-05-07 03:11:57,0.07679,2023-05-07 03:50:47,True,0.7990014807623865
DOGEUSDT,отскок,bids,0.07715,2023-05-07 17:41:04,0.0772,2023-05-07 17:49:15,True,1.070700044443292
