Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
SNXUSDT,отскок,bids,3.016,2023-03-14 23:05:20,3.009,2023-03-14 23:05:43,False,-0.05612405835544111
SNXUSDT,отскок,bids,3.003,2023-03-14 23:11:17,3.018,2023-03-14 23:25:27,True,0.047214409518675074
SNXUSDT,отскок,bids,2.953,2023-03-15 00:52:01,2.967,2023-03-15 00:54:37,True,0.04539162797331214
SNXUSDT,отскок,asks,3.192,2023-03-15 02:03:05,3.178,2023-03-15 02:03:54,True,0.07723474389199587
SNXUSDT,отскок,bids,3.162,2023-03-15 02:20:46,3.153,2023-03-15 02:21:28,False,-0.06702758337124466
SNXUSDT,отскок,asks,3.155,2023-03-15 02:27:22,3.141,2023-03-15 02:28:16,True,0.04472849776718418
SNXUSDT,отскок,asks,3.193,2023-03-15 02:33:20,3.176,2023-03-15 02:34:23,True,0.05316908949699297
SNXUSDT,отскок,asks,3.193,2023-03-15 04:32:47,3.2,2023-03-15 04:33:07,False,-0.05396031332397773
SNXUSDT,отскок,asks,3.207,2023-03-15 04:34:03,3.215,2023-03-15 04:34:16,False,-0.04019711304730943
SNXUSDT,отскок,asks,3.166,2023-03-15 07:35:05,3.173,2023-03-15 07:37:31,False,-0.054083024840536724
SNXUSDT,отскок,asks,3.192,2023-03-15 08:15:53,3.199,2023-03-15 08:18:35,False,-0.02401687343959344
SNXUSDT,отскок,asks,3.292,2023-03-15 08:42:06,3.277,2023-03-15 08:42:42,True,0.0492089785837664
SNXUSDT,отскок,asks,3.293,2023-03-15 08:43:59,3.305,2023-03-15 08:44:10,False,-0.06967189965322254
SNXUSDT,отскок,bids,3.221,2023-03-15 11:07:10,3.236,2023-03-15 11:16:17,True,0.04425113621344424
SNXUSDT,отскок,bids,3.232,2023-03-15 12:24:03,3.225,2023-03-15 12:26:20,False,-0.035341324238084025
SNXUSDT,отскок,bids,3.204,2023-03-15 12:35:26,3.197,2023-03-15 12:36:06,False,-0.045260893919798754
SNXUSDT,отскок,bids,3.174,2023-03-15 13:14:22,3.188,2023-03-15 13:15:17,True,0.04228026731685501
SNXUSDT,отскок,asks,3.167,2023-03-15 13:32:38,3.175,2023-03-15 13:36:27,False,0.004706955497101248
SNXUSDT,отскок,bids,3.066,2023-03-15 15:44:42,3.058,2023-03-15 15:45:28,False,-0.04038620211768854
SNXUSDT,отскок,asks,3.064,2023-03-15 16:01:58,3.074,2023-03-15 16:04:09,False,-0.03290732552294756
SNXUSDT,отскок,asks,3.061,2023-03-15 16:05:15,3.047,2023-03-15 16:06:52,True,0.04325159186408933
SNXUSDT,отскок,bids,3.052,2023-03-15 16:34:30,3.067,2023-03-15 16:34:54,True,0.046274261765227434
SNXUSDT,отскок,bids,3.025,2023-03-15 16:51:33,3.009,2023-03-15 16:52:56,False,-0.07950647160776665
SNXUSDT,отскок,bids,3.003,2023-03-15 16:56:53,2.995,2023-03-15 16:57:15,False,-0.05316674823732176
SNXUSDT,отскок,bids,2.995,2023-03-15 17:13:32,2.989,2023-03-15 17:13:53,False,-0.04939069171786997
SNXUSDT,отскок,bids,2.957,2023-03-15 17:17:41,2.97,2023-03-15 17:18:01,True,0.04487636095368726
SNXUSDT,отскок,bids,2.923,2023-03-15 17:29:47,2.915,2023-03-15 17:29:59,False,-0.06395188761379836
SNXUSDT,отскок,bids,2.904,2023-03-15 17:30:43,2.919,2023-03-15 17:32:07,True,0.049700098667404734
SNXUSDT,отскок,bids,2.858,2023-03-15 17:40:47,2.852,2023-03-15 17:41:10,False,-0.04332144171295383
SNXUSDT,отскок,asks,2.857,2023-03-15 17:53:23,2.863,2023-03-15 17:53:52,False,-0.05117016546103051
SNXUSDT,отскок,bids,2.832,2023-03-15 18:44:22,2.826,2023-03-15 18:44:36,False,-0.042382793583939544
SNXUSDT,отскок,bids,2.806,2023-03-15 18:53:21,2.8,2023-03-15 18:53:50,False,-0.04364231791658367
SNXUSDT,отскок,bids,2.79,2023-03-15 19:00:59,2.784,2023-03-15 19:01:13,False,-0.005525720442461052
SNXUSDT,отскок,bids,2.77,2023-03-15 19:14:10,2.763,2023-03-15 19:14:35,False,-0.05916450312823304
SNXUSDT,отскок,bids,2.752,2023-03-15 19:23:55,2.746,2023-03-15 19:24:14,False,-0.05219656966199563
SNXUSDT,отскок,asks,2.758,2023-03-15 19:33:55,2.744,2023-03-15 19:35:33,True,0.049190604652216155
SNXUSDT,отскок,bids,2.701,2023-03-15 19:39:47,2.694,2023-03-15 19:40:35,False,-0.03953656040400525
