Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный
NEOUSDT,отскок,bids,10.00000000,2023-02-09 17:41:57,10.03000000,2023-02-09 17:42:01,True
NEOUSDT,отскок,bids,10.04000000,2023-02-09 17:58:50,10.02000000,2023-02-09 18:00:10,False
NEOUSDT,отскок,bids,10.04000000,2023-02-09 18:02:43,10.07000000,2023-02-09 18:03:10,True
NEOUSDT,отскок,bids,10.06000000,2023-02-09 18:03:47,10.09000000,2023-02-09 18:04:22,True
NEOUSDT,отскок,bids,10.25000000,2023-02-09 18:11:33,10.23000000,2023-02-09 18:11:35,False
NEOUSDT,отскок,bids,10.28000000,2023-02-09 18:12:11,10.26000000,2023-02-09 18:12:15,False
NEOUSDT,отскок,bids,10.20000000,2023-02-09 18:22:46,10.23000000,2023-02-09 18:23:01,True
NEOUSDT,отскок,asks,10.14000000,2023-02-09 18:34:09,10.17000000,2023-02-09 18:34:47,False
NEOUSDT,отскок,asks,10.17000000,2023-02-09 18:41:52,10.14000000,2023-02-09 18:42:10,True
NEOUSDT,отскок,asks,10.00000000,2023-02-09 18:51:20,10.01000000,2023-02-09 18:51:27,False
NEOUSDT,отскок,bids,10.02000000,2023-02-09 18:52:27,10.00000000,2023-02-09 18:53:19,False
NEOUSDT,отскок,asks,10.00000000,2023-02-09 18:58:04,10.02000000,2023-02-09 18:58:20,False
NEOUSDT,отскок,asks,9.95000000,2023-02-09 19:00:51,9.96000000,2023-02-09 19:00:53,False
NEOUSDT,отскок,asks,9.91000000,2023-02-09 19:03:38,9.92000000,2023-02-09 19:03:39,False
NEOUSDT,отскок,asks,9.90000000,2023-02-09 19:03:55,9.88000000,2023-02-09 19:04:06,True
NEOUSDT,отскок,asks,9.90000000,2023-02-09 19:04:35,9.92000000,2023-02-09 19:04:57,False
NEOUSDT,отскок,asks,9.84000000,2023-02-09 19:18:50,9.85000000,2023-02-09 19:18:53,False
NEOUSDT,отскок,asks,9.79000000,2023-02-09 19:52:27,9.77000000,2023-02-09 19:52:34,True
NEOUSDT,отскок,bids,9.78000000,2023-02-09 19:53:31,9.80000000,2023-02-09 19:55:43,True
NEOUSDT,отскок,asks,9.74000000,2023-02-09 20:13:02,9.75000000,2023-02-09 20:13:13,False
NEOUSDT,отскок,asks,9.70000000,2023-02-09 20:20:46,9.71000000,2023-02-09 20:20:53,False
NEOUSDT,отскок,bids,9.68000000,2023-02-09 20:36:46,9.67000000,2023-02-09 20:36:50,False
NEOUSDT,отскок,asks,9.74000000,2023-02-09 20:41:08,9.72000000,2023-02-09 20:41:15,True
NEOUSDT,отскок,bids,9.76000000,2023-02-09 21:03:10,9.75000000,2023-02-09 21:04:20,False
NEOUSDT,отскок,asks,10.07000000,2023-02-09 21:25:09,10.04000000,2023-02-09 21:25:15,True
NEOUSDT,отскок,asks,10.04000000,2023-02-09 21:27:27,10.06000000,2023-02-09 21:27:51,False
NEOUSDT,отскок,bids,9.80000000,2023-02-09 22:08:22,9.79000000,2023-02-09 22:08:42,False
NEOUSDT,отскок,asks,9.70000000,2023-02-09 22:14:22,9.71000000,2023-02-09 22:14:22,False
NEOUSDT,отскок,asks,9.69000000,2023-02-09 22:25:19,9.70000000,2023-02-09 22:25:24,False
NEOUSDT,отскок,bids,9.59000000,2023-02-09 22:26:28,9.58000000,2023-02-09 22:26:31,False
