Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный
ZECUSDT,отскок,asks,43.71,2023-03-02 07:16:11,43.62,2023-03-02 07:21:40,True
ZECUSDT,отскок,bids,43.60,2023-03-02 09:00:23,43.52,2023-03-02 09:03:32,False
ZECUSDT,отскок,bids,43.50,2023-03-02 09:25:46,43.59,2023-03-02 09:28:22,True
ZECUSDT,отскок,asks,43.53,2023-03-02 09:52:49,43.58,2023-03-02 09:53:23,False
ZECUSDT,отскок,bids,43.42,2023-03-02 10:20:44,43.37,2023-03-02 10:21:31,False
ZECUSDT,отскок,bids,43.34,2023-03-02 10:22:34,43.43,2023-03-02 10:26:25,True
ZECUSDT,отскок,asks,43.43,2023-03-02 10:26:26,43.48,2023-03-02 10:29:31,False
ZECUSDT,отскок,asks,43.54,2023-03-02 11:09:15,43.44,2023-03-02 11:10:15,True
ZECUSDT,отскок,asks,43.68,2023-03-02 12:23:25,43.75,2023-03-02 12:24:12,False
ZECUSDT,отскок,bids,43.49,2023-03-02 14:22:26,43.58,2023-03-02 14:29:29,True
ZECUSDT,отскок,asks,43.60,2023-03-02 14:29:56,43.51,2023-03-02 14:35:23,True
ZECUSDT,отскок,bids,43.50,2023-03-02 15:16:17,43.45,2023-03-02 15:17:42,False
ZECUSDT,отскок,bids,43.37,2023-03-02 15:30:05,43.47,2023-03-02 15:30:19,True
ZECUSDT,отскок,bids,43.30,2023-03-02 16:09:16,43.25,2023-03-02 16:14:53,False
ZECUSDT,отскок,asks,43.50,2023-03-02 16:21:22,43.55,2023-03-02 16:22:04,False
ZECUSDT,отскок,bids,43.31,2023-03-02 16:55:22,43.40,2023-03-02 17:02:32,True
ZECUSDT,отскок,bids,43.10,2023-03-02 17:18:03,43.05,2023-03-02 17:18:21,False
ZECUSDT,отскок,asks,43.13,2023-03-02 17:19:37,43.04,2023-03-02 17:20:30,True
ZECUSDT,отскок,bids,43.21,2023-03-02 17:28:22,43.16,2023-03-02 17:32:48,False
ZECUSDT,отскок,asks,43.10,2023-03-02 17:39:09,43.15,2023-03-02 17:39:44,False
ZECUSDT,отскок,bids,43.20,2023-03-02 17:43:54,43.15,2023-03-02 17:45:51,False
ZECUSDT,отскок,bids,43.31,2023-03-02 17:54:53,43.40,2023-03-02 17:59:20,True
ZECUSDT,отскок,bids,43.33,2023-03-02 18:18:05,43.28,2023-03-02 18:19:38,False
ZECUSDT,отскок,bids,43.18,2023-03-02 18:26:25,43.31,2023-03-02 18:27:22,True
ZECUSDT,отскок,bids,43.36,2023-03-02 19:22:28,43.28,2023-03-02 19:24:44,False
ZECUSDT,отскок,asks,43.01,2023-03-02 19:42:15,43.06,2023-03-02 19:43:06,False
ZECUSDT,отскок,bids,43.13,2023-03-02 19:45:36,43.08,2023-03-02 19:46:29,False
ZECUSDT,отскок,asks,43.01,2023-03-02 19:56:50,43.06,2023-03-02 20:00:40,False
ZECUSDT,отскок,bids,42.98,2023-03-02 20:19:09,43.07,2023-03-02 20:24:04,True
ZECUSDT,отскок,asks,43.20,2023-03-02 20:34:27,43.11,2023-03-02 20:41:49,True
ZECUSDT,отскок,bids,43.11,2023-03-02 20:48:57,43.06,2023-03-02 20:49:49,False
ZECUSDT,отскок,asks,43.20,2023-03-02 20:53:57,43.11,2023-03-02 21:03:08,True
ZECUSDT,отскок,bids,43.07,2023-03-02 21:31:16,43.16,2023-03-02 21:35:06,True
ZECUSDT,отскок,bids,43.34,2023-03-02 21:57:06,43.43,2023-03-02 21:58:08,True
ZECUSDT,отскок,asks,43.55,2023-03-02 22:01:46,43.46,2023-03-02 22:13:25,True
ZECUSDT,отскок,bids,43.52,2023-03-02 22:35:08,43.47,2023-03-02 22:36:18,False
ZECUSDT,пробой,bids,43.60,2023-03-02 22:38:36,43.65,2023-03-02 23:00:53,False
ZECUSDT,отскок,bids,43.56,2023-03-02 23:36:02,43.65,2023-03-02 23:42:20,True
ZECUSDT,отскок,asks,43.39,2023-03-03 00:00:39,43.30,2023-03-03 00:04:21,True
ZECUSDT,отскок,bids,43.27,2023-03-03 00:05:53,43.36,2023-03-03 00:19:05,True
ZECUSDT,отскок,bids,43.28,2023-03-03 00:20:06,43.38,2023-03-03 00:29:21,True
ZECUSDT,отскок,asks,43.38,2023-03-03 00:29:30,43.29,2023-03-03 00:33:05,True
ZECUSDT,отскок,bids,43.48,2023-03-03 01:25:01,43.57,2023-03-03 01:28:12,True
ZECUSDT,отскок,asks,43.52,2023-03-03 02:02:03,43.58,2023-03-03 02:03:17,False
ZECUSDT,отскок,asks,43.52,2023-03-03 02:37:04,43.57,2023-03-03 02:37:15,False
ZECUSDT,отскок,bids,43.00,2023-03-03 04:18:26,42.95,2023-03-03 04:18:36,False
ZECUSDT,отскок,bids,42.80,2023-03-03 04:19:18,42.71,2023-03-03 04:19:25,False
ZECUSDT,отскок,asks,42.28,2023-03-03 04:21:28,42.34,2023-03-03 04:21:31,False
ZECUSDT,отскок,asks,42.02,2023-03-03 04:22:25,41.91,2023-03-03 04:22:29,True
ZECUSDT,отскок,bids,41.04,2023-03-03 04:28:35,40.96,2023-03-03 04:28:37,False
ZECUSDT,отскок,bids,40.70,2023-03-03 04:28:58,40.62,2023-03-03 04:28:59,False
ZECUSDT,отскок,asks,40.65,2023-03-03 04:30:18,40.56,2023-03-03 04:30:19,True
ZECUSDT,отскок,asks,39.94,2023-03-03 04:30:45,39.98,2023-03-03 04:30:51,False
ZECUSDT,отскок,bids,38.50,2023-03-03 04:31:58,38.17,2023-03-03 04:31:59,False
ZECUSDT,отскок,bids,37.72,2023-03-03 04:32:11,37.84,2023-03-03 04:32:13,True
ZECUSDT,отскок,bids,37.00,2023-03-03 04:32:25,37.43,2023-03-03 04:32:26,True
ZECUSDT,отскок,bids,37.00,2023-03-03 04:32:28,37.11,2023-03-03 04:32:29,True
ZECUSDT,отскок,bids,36.76,2023-03-03 04:32:34,36.66,2023-03-03 04:32:36,False
ZECUSDT,отскок,bids,38.21,2023-03-03 04:36:51,38.17,2023-03-03 04:36:55,False
ZECUSDT,отскок,bids,38.49,2023-03-03 04:38:15,38.57,2023-03-03 04:38:24,True
ZECUSDT,отскок,asks,38.62,2023-03-03 04:38:25,38.67,2023-03-03 04:38:55,False
ZECUSDT,отскок,bids,38.34,2023-03-03 04:42:04,38.28,2023-03-03 04:42:06,False
ZECUSDT,отскок,asks,38.76,2023-03-03 04:48:46,38.81,2023-03-03 04:48:55,False
ZECUSDT,отскок,bids,38.91,2023-03-03 04:49:21,38.87,2023-03-03 04:49:50,False
ZECUSDT,отскок,asks,38.70,2023-03-03 04:53:43,38.75,2023-03-03 04:53:59,False
ZECUSDT,отскок,bids,38.49,2023-03-03 05:00:32,38.59,2023-03-03 05:00:43,True
ZECUSDT,отскок,bids,38.76,2023-03-03 05:06:06,38.70,2023-03-03 05:06:08,False
ZECUSDT,отскок,bids,38.73,2023-03-03 05:06:46,38.83,2023-03-03 05:07:02,True
ZECUSDT,отскок,asks,38.72,2023-03-03 05:15:51,38.76,2023-03-03 05:16:02,False
ZECUSDT,отскок,asks,38.89,2023-03-03 05:21:33,38.81,2023-03-03 05:21:48,True
ZECUSDT,отскок,asks,38.81,2023-03-03 05:26:48,38.72,2023-03-03 05:27:15,True
ZECUSDT,отскок,asks,38.72,2023-03-03 05:27:38,38.64,2023-03-03 05:28:40,True
ZECUSDT,отскок,asks,38.60,2023-03-03 05:28:53,38.64,2023-03-03 05:29:41,False
ZECUSDT,отскок,asks,38.63,2023-03-03 05:30:22,38.54,2023-03-03 05:31:00,True
ZECUSDT,отскок,bids,38.57,2023-03-03 05:33:53,38.65,2023-03-03 05:35:14,True
ZECUSDT,отскок,bids,38.65,2023-03-03 05:35:33,38.74,2023-03-03 05:36:04,True
ZECUSDT,отскок,asks,38.79,2023-03-03 05:38:29,38.71,2023-03-03 05:39:01,True
ZECUSDT,отскок,asks,38.72,2023-03-03 05:39:52,38.64,2023-03-03 05:41:07,True
