Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный
ZECUSDT,отскок,asks,38.85,2023-03-04 17:59:36,38.93,2023-03-04 18:04:00,False
ZECUSDT,отскок,bids,38.95,2023-03-04 18:04:48,38.86,2023-03-04 18:38:07,False
ZECUSDT,отскок,asks,38.86,2023-03-04 18:38:11,38.8,2023-03-04 18:41:27,True
ZECUSDT,отскок,asks,38.83,2023-03-04 18:42:49,38.91,2023-03-04 18:47:21,False
ZECUSDT,отскок,bids,38.86,2023-03-04 18:47:59,38.77,2023-03-04 18:48:22,False
ZECUSDT,отскок,asks,38.78,2023-03-04 18:48:26,38.72,2023-03-04 18:51:07,True
ZECUSDT,отскок,asks,38.74,2023-03-04 18:57:03,38.68,2023-03-04 19:00:24,True
ZECUSDT,отскок,asks,38.72,2023-03-04 19:00:53,38.8,2023-03-04 19:06:49,False
ZECUSDT,отскок,bids,38.8,2023-03-04 19:07:19,38.86,2023-03-04 19:16:13,True
ZECUSDT,отскок,bids,38.86,2023-03-04 19:16:17,38.78,2023-03-04 19:22:40,False
ZECUSDT,отскок,bids,38.77,2023-03-04 19:30:25,38.86,2023-03-04 19:31:34,True
ZECUSDT,отскок,asks,38.85,2023-03-04 19:31:36,38.77,2023-03-04 19:49:16,True
ZECUSDT,отскок,asks,38.74,2023-03-04 19:50:00,38.82,2023-03-04 19:59:02,False
ZECUSDT,отскок,bids,38.79,2023-03-04 20:00:14,38.71,2023-03-04 20:05:32,False
ZECUSDT,отскок,asks,38.72,2023-03-04 20:07:16,38.8,2023-03-04 20:21:12,False
ZECUSDT,отскок,asks,38.73,2023-03-04 20:32:56,38.66,2023-03-04 20:48:40,True
ZECUSDT,отскок,bids,38.66,2023-03-04 20:48:43,38.72,2023-03-04 20:59:33,True
ZECUSDT,отскок,asks,38.74,2023-03-04 21:01:52,38.68,2023-03-04 21:03:09,True
ZECUSDT,отскок,asks,38.65,2023-03-04 21:05:44,38.58,2023-03-04 21:06:16,True
ZECUSDT,отскок,asks,38.5,2023-03-04 21:07:12,38.44,2023-03-04 21:07:18,True
ZECUSDT,отскок,bids,38.39,2023-03-04 21:07:26,38.44,2023-03-04 21:07:52,True
ZECUSDT,отскок,asks,38.44,2023-03-04 21:07:53,38.53,2023-03-04 21:12:50,False
ZECUSDT,отскок,asks,38.54,2023-03-04 21:12:56,38.64,2023-03-04 21:14:39,False
ZECUSDT,отскок,asks,38.63,2023-03-04 21:14:45,38.71,2023-03-04 21:20:04,False
ZECUSDT,отскок,asks,38.72,2023-03-04 21:23:49,38.8,2023-03-04 21:30:40,False
ZECUSDT,отскок,bids,38.8,2023-03-04 21:30:46,38.72,2023-03-04 21:34:20,False
ZECUSDT,отскок,asks,38.73,2023-03-04 21:34:26,38.82,2023-03-04 21:41:08,False
ZECUSDT,отскок,asks,38.81,2023-03-04 21:41:16,38.89,2023-03-04 21:42:58,False
ZECUSDT,отскок,bids,38.88,2023-03-04 21:46:09,38.94,2023-03-04 21:58:35,True
ZECUSDT,отскок,asks,38.94,2023-03-04 21:58:36,38.84,2023-03-04 22:01:23,True
ZECUSDT,отскок,asks,38.82,2023-03-04 22:01:52,38.9,2023-03-04 22:04:06,False
ZECUSDT,отскок,bids,38.93,2023-03-04 22:10:04,38.87,2023-03-04 22:14:41,True
ZECUSDT,отскок,bids,38.87,2023-03-04 22:14:44,38.81,2023-03-04 22:14:51,True
ZECUSDT,отскок,bids,38.76,2023-03-04 22:15:06,38.8,2023-03-04 22:15:09,False
ZECUSDT,отскок,asks,38.82,2023-03-04 22:15:34,38.78,2023-03-04 22:15:44,False
ZECUSDT,отскок,asks,38.77,2023-03-04 22:15:48,38.72,2023-03-04 22:20:08,False
ZECUSDT,отскок,asks,38.71,2023-03-04 22:20:12,38.64,2023-03-04 22:26:58,False
ZECUSDT,отскок,asks,38.73,2023-03-04 22:27:38,38.68,2023-03-04 22:33:55,False
ZECUSDT,отскок,asks,38.64,2023-03-04 22:34:01,38.59,2023-03-04 22:34:03,False
ZECUSDT,отскок,asks,38.54,2023-03-04 22:34:43,38.61,2023-03-04 22:34:48,True
ZECUSDT,отскок,asks,38.52,2023-03-04 22:35:03,38.58,2023-03-04 22:35:21,True
ZECUSDT,отскок,asks,38.54,2023-03-04 22:35:54,38.61,2023-03-04 22:36:08,True
