Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
DOGEUSDT,отскок,asks,0.09518,2023-04-05 18:12:12,0.0953,2023-04-05 18:14:18,False,-0.01926417198202551
DOGEUSDT,отскок,bids,0.09361,2023-04-05 19:32:38,0.09348,2023-04-05 19:35:51,False,-0.004209954646201558
DOGEUSDT,отскок,bids,0.09313,2023-04-05 19:46:06,0.093,2023-04-05 19:46:37,False,-0.03136180033141299
DOGEUSDT,отскок,asks,0.09297,2023-04-05 23:52:36,0.09309,2023-04-05 23:55:41,False,-0.03532142949354508
DOGEUSDT,отскок,bids,0.09111,2023-04-06 03:08:47,0.09151,2023-04-06 03:09:31,True,0.04261237188325492
DOGEUSDT,отскок,bids,0.09007,2023-04-06 04:31:07,0.08988,2023-04-06 04:31:29,False,-0.04403489160718879
DOGEUSDT,отскок,bids,0.09109,2023-04-06 10:48:28,0.09092,2023-04-06 10:48:50,False,-0.03950910108545578
DOGEUSDT,отскок,bids,0.09174,2023-04-06 11:43:18,0.09168,2023-04-06 11:51:08,False,0.014729543134185574
DOGEUSDT,отскок,bids,0.09028,2023-04-06 13:00:52,0.09014,2023-04-06 13:01:14,False,-0.04034097259469373
DOGEUSDT,отскок,asks,0.08863,2023-04-06 13:44:46,0.08823,2023-04-06 13:45:26,True,0.058300561718025654
DOGEUSDT,отскок,asks,0.08887,2023-04-06 15:18:09,0.08904,2023-04-06 15:19:57,False,-0.03993727489657448
DOGEUSDT,отскок,bids,0.08933,2023-04-06 15:21:39,0.08974,2023-04-06 15:22:21,True,0.050826697855002004
DOGEUSDT,отскок,bids,0.0898,2023-04-06 15:37:50,0.08967,2023-04-06 15:41:20,False,-0.032686784793720655
DOGEUSDT,отскок,bids,0.08937,2023-04-06 16:17:10,0.08925,2023-04-06 16:28:01,False,-0.014064145417678543
DOGEUSDT,отскок,asks,0.08852,2023-04-06 16:45:47,0.08813,2023-04-06 16:47:18,True,0.04311541466744121
DOGEUSDT,отскок,bids,0.08897,2023-04-06 17:10:22,0.08905,2023-04-06 17:22:26,False,0.032081956125705774
DOGEUSDT,отскок,bids,0.08901,2023-04-06 17:27:02,0.0894,2023-04-06 17:53:49,True,0.04136748815518847
DOGEUSDT,отскок,bids,0.08978,2023-04-06 18:05:49,0.0902,2023-04-06 18:09:26,True,0.04512898965156191
DOGEUSDT,отскок,bids,0.0903,2023-04-06 18:55:24,0.09017,2023-04-06 18:59:40,False,-0.03274776842663142
DOGEUSDT,отскок,bids,0.09047,2023-04-06 19:47:51,0.09031,2023-04-06 19:53:21,False,-0.04491989046721027
DOGEUSDT,отскок,bids,0.09008,2023-04-06 20:32:45,0.08996,2023-04-06 20:34:01,False,-0.0361440785638641
DOGEUSDT,отскок,asks,0.09007,2023-04-06 20:40:30,0.08967,2023-04-06 20:47:14,True,0.047668265942639246
DOGEUSDT,отскок,asks,0.09161,2023-04-06 22:28:43,0.09119,2023-04-06 22:29:14,True,0.04587560211242482
DOGEUSDT,отскок,bids,0.09111,2023-04-06 22:47:34,0.09097,2023-04-06 22:47:53,False,-0.04034198795583699
DOGEUSDT,отскок,asks,0.09118,2023-04-06 23:36:19,0.09078,2023-04-06 23:44:54,True,0.04615038147416118
DOGEUSDT,отскок,asks,0.08595,2023-04-06 23:49:01,0.0861,2023-04-06 23:49:18,False,-0.026937738511748032
DOGEUSDT,отскок,bids,0.08535,2023-04-07 00:06:18,0.0852,2023-04-07 00:06:26,False,-0.044679889358093194
DOGEUSDT,отскок,asks,0.0854,2023-04-07 00:14:10,0.08553,2023-04-07 00:14:22,False,-0.03992533953665697
DOGEUSDT,отскок,asks,0.08634,2023-04-07 00:22:44,0.08596,2023-04-07 00:25:15,True,0.05240636110252396
DOGEUSDT,отскок,bids,0.08505,2023-04-07 02:33:39,0.08545,2023-04-07 02:36:22,True,0.04309896453370791
DOGEUSDT,отскок,bids,0.0851,2023-04-07 02:48:34,0.08548,2023-04-07 02:51:52,True,0.04116408128745913
DOGEUSDT,отскок,bids,0.0851,2023-04-07 02:57:53,0.08518,2023-04-07 03:00:37,False,0.02414564085934278
DOGEUSDT,отскок,bids,0.08559,2023-04-07 03:44:04,0.08599,2023-04-07 03:51:01,True,0.042331863919491265
DOGEUSDT,отскок,bids,0.08606,2023-04-07 03:56:15,0.08592,2023-04-07 04:00:42,False,-0.03600937017811859
DOGEUSDT,отскок,bids,0.0857,2023-04-07 04:54:09,0.08538,2023-04-07 04:56:17,False,-0.0843880923081596
DOGEUSDT,отскок,asks,0.08541,2023-04-07 04:56:53,0.085,2023-04-07 04:59:20,True,0.054303250129846756
DOGEUSDT,отскок,asks,0.08269,2023-04-07 10:11:54,0.08232,2023-04-07 10:18:35,True,0.043785880916920455
DOGEUSDT,отскок,asks,0.08242,2023-04-07 10:42:10,0.08255,2023-04-07 10:43:13,False,-0.04131058106477587
DOGEUSDT,отскок,bids,0.08299,2023-04-07 11:11:13,0.08286,2023-04-07 11:14:48,False,-0.03480131252397872
DOGEUSDT,отскок,asks,0.08255,2023-04-07 11:45:51,0.08219,2023-04-07 11:52:37,True,0.04242502613190296
DOGEUSDT,отскок,asks,0.0821,2023-04-07 11:54:23,0.08222,2023-04-07 11:56:26,False,-0.03336020317157358
DOGEUSDT,отскок,asks,0.08224,2023-04-07 11:56:58,0.0824,2023-04-07 12:03:01,False,0.026697299019828806
DOGEUSDT,отскок,asks,0.0829,2023-04-07 13:21:17,0.08253,2023-04-07 13:29:55,True,0.04090348653674302
DOGEUSDT,отскок,asks,0.08243,2023-04-07 13:42:28,0.08257,2023-04-07 13:45:17,False,-0.043731683246322775
DOGEUSDT,отскок,bids,0.08253,2023-04-07 13:47:37,0.08241,2023-04-07 14:00:34,False,-0.003831545587652231
DOGEUSDT,отскок,asks,0.08208,2023-04-07 16:02:20,0.08221,2023-04-07 16:09:03,False,-0.005881472543304891
DOGEUSDT,отскок,asks,0.08214,2023-04-07 16:36:15,0.08226,2023-04-07 16:36:42,False,-0.038882380316516946
DOGEUSDT,отскок,asks,0.08289,2023-04-07 17:31:43,0.08251,2023-04-07 17:59:20,True,0.04114773748771093
DOGEUSDT,отскок,asks,0.08324,2023-04-08 10:09:50,0.08287,2023-04-08 10:51:41,True,0.04170397443210379
DOGEUSDT,отскок,bids,0.08313,2023-04-08 11:10:03,0.08299,2023-04-08 11:33:13,False,-0.028625005953368123
DOGEUSDT,отскок,asks,0.08291,2023-04-08 11:39:30,0.08304,2023-04-08 11:40:03,False,-0.04104181667442632
DOGEUSDT,отскок,bids,0.0831,2023-04-08 15:43:48,0.08317,2023-04-08 16:31:58,False,0.031081269443508145
DOGEUSDT,отскок,bids,0.08312,2023-04-08 16:53:53,0.083,2023-04-08 18:00:01,False,-0.0155377635478099
DOGEUSDT,отскок,bids,0.08306,2023-04-08 18:00:41,0.08292,2023-04-08 20:33:00,False,-0.01758835949356454
DOGEUSDT,отскок,bids,0.08273,2023-04-08 20:33:45,0.08258,2023-04-08 20:40:16,False,-0.017948448083924158
DOGEUSDT,отскок,asks,0.08235,2023-04-08 20:50:21,0.08248,2023-04-08 21:12:11,False,0.025221145011953723
DOGEUSDT,отскок,asks,0.08094,2023-04-08 22:35:56,0.08107,2023-04-08 22:38:05,False,-0.035744543661313875
DOGEUSDT,отскок,bids,0.0811,2023-04-08 22:50:27,0.08147,2023-04-08 23:02:51,True,0.04150655092880447
DOGEUSDT,отскок,bids,0.08097,2023-04-09 00:01:25,0.08133,2023-04-09 00:05:25,True,0.04589202150791423
DOGEUSDT,отскок,asks,0.08113,2023-04-09 02:00:36,0.08126,2023-04-09 02:04:34,False,-0.04176232526062549
DOGEUSDT,отскок,bids,0.08331,2023-04-09 18:19:50,0.08319,2023-04-09 18:20:24,False,-0.031918596664536336
DOGEUSDT,отскок,asks,0.08324,2023-04-09 18:21:59,0.08353,2023-04-09 18:24:39,False,-0.03772160723316526
DOGEUSDT,отскок,asks,0.08331,2023-04-09 18:27:41,0.08344,2023-04-09 18:30:24,False,-0.025681913605589895
DOGEUSDT,отскок,bids,0.08292,2023-04-09 19:20:16,0.0833,2023-04-09 19:42:28,True,0.041650419861088056
