Монета,Тип операции,bids or asks,Цена входа,Время входа,Цена выхода,Время выхода,Правильный Неправильный,Заработали с сделки
NEOUSDT,отскок,bids,10.662,2023-03-08 22:55:27,10.635,2023-03-08 23:01:40,True,0.02179889251547655
NEOUSDT,отскок,bids,10.631,2023-03-08 23:04:23,10.603,2023-03-08 23:08:16,True,0.021914661379489393
NEOUSDT,отскок,asks,10.629,2023-03-08 23:12:31,10.617,2023-03-08 23:13:48,False,-0.02519944395962101
NEOUSDT,отскок,bids,10.61,2023-03-08 23:17:08,10.626,2023-03-08 23:17:48,False,-0.039922034025905245
NEOUSDT,отскок,asks,10.627,2023-03-08 23:18:05,10.654,2023-03-08 23:23:16,True,0.02261565568685682
NEOUSDT,отскок,asks,10.667,2023-03-08 23:26:09,10.656,2023-03-08 23:26:46,False,-0.030339505186035357
NEOUSDT,отскок,asks,10.713,2023-03-08 23:40:06,10.702,2023-03-08 23:40:52,False,-0.0301994455634701
NEOUSDT,отскок,asks,10.696,2023-03-08 23:41:52,10.724,2023-03-08 23:46:54,True,0.024601040215271888
NEOUSDT,отскок,asks,10.715,2023-03-08 23:47:26,10.704,2023-03-08 23:48:25,False,-0.03019279092398585
NEOUSDT,отскок,asks,10.711,2023-03-08 23:49:11,10.741,2023-03-09 00:05:00,True,0.02306628536968624
NEOUSDT,отскок,asks,10.732,2023-03-09 00:08:55,10.721,2023-03-09 00:09:05,False,-0.03014956872548888
NEOUSDT,отскок,asks,10.744,2023-03-09 00:30:00,10.729,2023-03-09 00:31:26,False,-0.01524760838893588
NEOUSDT,отскок,bids,10.734,2023-03-09 00:34:24,10.707,2023-03-09 00:36:47,True,0.022977623120126262
NEOUSDT,отскок,bids,10.695,2023-03-09 00:38:59,10.667,2023-03-09 00:46:07,True,0.023123354094655192
NEOUSDT,отскок,asks,10.669,2023-03-09 00:59:08,10.656,2023-03-09 01:01:02,False,-0.026900121536130122
NEOUSDT,отскок,asks,10.648,2023-03-09 01:01:29,10.637,2023-03-09 01:04:45,False,-0.02390872533083971
NEOUSDT,отскок,bids,10.64,2023-03-09 01:04:59,10.612,2023-03-09 01:05:47,True,0.025880520849501733
NEOUSDT,отскок,bids,10.591,2023-03-09 01:07:15,10.602,2023-03-09 01:08:33,False,-0.015711760829559843
NEOUSDT,отскок,bids,10.601,2023-03-09 01:10:36,10.615,2023-03-09 01:11:48,False,-0.035989094281123304
NEOUSDT,отскок,bids,10.609,2023-03-09 01:12:45,10.62,2023-03-09 01:24:53,False,0.01020581139764508
NEOUSDT,отскок,asks,10.534,2023-03-09 01:43:08,10.521,2023-03-09 01:47:18,False,-0.00551458020352256
NEOUSDT,отскок,asks,10.516,2023-03-09 01:47:28,10.502,2023-03-09 01:48:02,False,-0.03613199499596134
NEOUSDT,отскок,asks,10.477,2023-03-09 02:05:00,10.464,2023-03-09 02:05:30,False,-0.03427060376635892
NEOUSDT,отскок,asks,10.506,2023-03-09 02:12:16,10.533,2023-03-09 02:12:54,True,0.024309930553398598
NEOUSDT,отскок,asks,10.528,2023-03-09 02:14:08,10.517,2023-03-09 02:15:22,False,-0.030366256574813053
NEOUSDT,отскок,bids,10.522,2023-03-09 02:21:49,10.533,2023-03-09 02:23:33,False,-0.015277087959961312
NEOUSDT,отскок,asks,10.562,2023-03-09 02:26:43,10.548,2023-03-09 02:28:02,False,-0.028356261307056707
NEOUSDT,отскок,asks,10.577,2023-03-09 02:31:39,10.566,2023-03-09 02:33:11,False,-0.030157352490508316
NEOUSDT,отскок,bids,10.571,2023-03-09 02:33:32,10.544,2023-03-09 02:35:33,True,0.022153094326306383
NEOUSDT,отскок,bids,10.541,2023-03-09 02:36:19,10.512,2023-03-09 02:39:09,True,0.023018319039386424
NEOUSDT,отскок,bids,10.502,2023-03-09 02:39:23,10.514,2023-03-09 02:39:44,False,-0.03222113298415488
NEOUSDT,отскок,bids,10.506,2023-03-09 02:41:08,10.518,2023-03-09 02:44:59,False,-0.032160057095650604
NEOUSDT,отскок,asks,10.511,2023-03-09 02:47:40,10.5,2023-03-09 02:51:15,False,-0.014840522300435024
NEOUSDT,отскок,asks,10.504,2023-03-09 02:53:44,10.492,2023-03-09 02:54:21,False,-0.03207686823699019
NEOUSDT,отскок,asks,10.502,2023-03-09 02:58:51,10.49,2023-03-09 03:01:24,False,-0.016300592199676403
NEOUSDT,отскок,bids,10.488,2023-03-09 03:01:39,10.499,2023-03-09 03:02:03,False,-0.02379419211628799
NEOUSDT,отскок,bids,10.47,2023-03-09 03:02:49,10.443,2023-03-09 03:04:44,True,0.0219655044837841
NEOUSDT,отскок,asks,10.446,2023-03-09 03:09:22,10.433,2023-03-09 03:11:37,False,0.007751586564401593
NEOUSDT,отскок,asks,10.43,2023-03-09 03:11:55,10.419,2023-03-09 03:12:32,False,-0.030282700243169654
NEOUSDT,отскок,bids,10.422,2023-03-09 03:15:27,10.381,2023-03-09 03:16:30,True,0.030019860377240103
NEOUSDT,отскок,bids,10.312,2023-03-09 03:19:49,10.323,2023-03-09 03:20:04,False,-0.030529672925633047
NEOUSDT,отскок,asks,10.393,2023-03-09 03:23:39,10.422,2023-03-09 03:26:23,True,0.02519628402162379
NEOUSDT,отскок,asks,10.424,2023-03-09 03:27:20,10.413,2023-03-09 03:31:25,False,-0.0050283570705753735
